Sample,Cook's Distance
"Left globus pallidus externa, L)",0.40111289817196605
"Left subthalamic nucleus, L)",0.11773753341061538
"Right nucleus accumbens, R)",0.11759792289824376
"Left globus pallidus interna, L)",0.0769040602119515
"7Networks_RH_SomMot_8, R)",0.05945165440843405
"7Networks_LH_Vis_4, L)",0.05200019908479804
"7Networks_RH_Vis_5, R)",0.049311768728193976
"Left hippocampus, L)",0.04528093804495029
"7Networks_RH_Vis_7, R)",0.03663706274657008
"7Networks_RH_Default_PFCm_1, R)",0.031010751350404066
"Left substantia nigra, L)",0.029851045347951917
"Left putamen, L)",0.028956536316921883
"7Networks_RH_Limbic_TempPole_1, R)",0.027601135598016576
"Right subthalamic nucleus, R)",0.022857037356350248
"Right amygdala, R)",0.02244882316076599
"7Networks_RH_Default_Temp_1, R)",0.021441527263977446
"Left amygdala, L)",0.02049853020532956
"Right substantia nigra, R)",0.02047597728681074
"7Networks_LH_Limbic_OFC_1, L)",0.020379028440926965
