Sample,Cook's Distance
"Left hippocampus, L)",0.10169969280895538
"Right substantia nigra, R)",0.08586329958854932
"7Networks_RH_Default_PCC_1, R)",0.06973660612040593
"Right caudate, R)",0.053954795249808396
"Left subthalamic nucleus, L)",0.049283974806105704
"Right red nucleus, R)",0.04645536356213331
"Left red nucleus, L)",0.04087952674070498
"7Networks_LH_Default_PFC_3, L)",0.04030629599968731
"7Networks_RH_Default_PFCm_1, R)",0.03684184012410649
"7Networks_RH_Cont_PFCl_1, R)",0.035248023612047034
"Left putamen, L)",0.030034970624025638
"Left amygdala, L)",0.027417842365031635
"7Networks_RH_Default_Temp_2, R)",0.024208523976458896
"Right nucleus accumbens, R)",0.02418891160150823
"7Networks_RH_SalVentAttn_Med_1, R)",0.02363034827424487
"7Networks_LH_Vis_8, L)",0.02108159863843114
"Left globus pallidus interna, L)",0.019845167164936863
"Right globus pallidus externa, R)",0.019522484184279598
"Right putamen, R)",0.01835802382099062
