Sample,Cook's Distance
"Left subthalamic nucleus, L)",0.37994880680185905
"Left nucleus accumbens, L)",0.2287951509673713
"Left substantia nigra, L)",0.06210782336850696
"Right substantia nigra, R)",0.06084904197994215
"7Networks_LH_Default_PFC_4, L)",0.06048374325947996
"Left amygdala, L)",0.05703322292472634
"Right subthalamic nucleus, R)",0.0525923726726312
"7Networks_LH_Vis_2, L)",0.0331174999027062
"7Networks_RH_Vis_7, R)",0.0307573050339158
"7Networks_RH_Cont_Par_1, R)",0.028948046159040154
"7Networks_RH_SomMot_5, R)",0.024593971860355793
"7Networks_RH_SomMot_1, R)",0.022672678563855252
"Left red nucleus, L)",0.021638008565512117
"7Networks_RH_Limbic_OFC_1, R)",0.02101537500695578
"7Networks_LH_SalVentAttn_Med_2, L)",0.020273282551884854
"7Networks_RH_SomMot_6, R)",0.01953801407698472
"Right caudate, R)",0.01945076778763693
"Right amygdala, R)",0.017223873245616358
"Left globus pallidus externa, L)",0.016808116921578298
