Sample,Cook's Distance
"Left globus pallidus externa, L)",0.1822448103257812
"Right nucleus accumbens, R)",0.10080578088721344
"Left hippocampus, L)",0.10045783876939053
"Left subthalamic nucleus, L)",0.06749947854638595
"Left amygdala, L)",0.05821754746830999
"7Networks_RH_Default_PFCm_1, R)",0.055787921997769475
"Right substantia nigra, R)",0.05438933566289614
"Left putamen, L)",0.047185394251926305
"7Networks_RH_Default_PCC_1, R)",0.044841645658107956
"Left nucleus accumbens, L)",0.041842745936594226
"Left globus pallidus interna, L)",0.040352291097318235
"7Networks_RH_SomMot_8, R)",0.03600781574947546
"7Networks_LH_Limbic_OFC_1, L)",0.031992329405712006
"Left red nucleus, L)",0.03105463272497227
"7Networks_RH_Default_Temp_1, R)",0.0307017257203285
"7Networks_LH_Default_PFC_3, L)",0.028445057464798983
"7Networks_LH_Cont_Cing_1, L)",0.026853204558916467
"Right caudate, R)",0.02317760379770768
"Right subthalamic nucleus, R)",0.021456425312636456
