Sample,Cook's Distance
"Right nucleus accumbens, R)",0.2475548656555214
"Left putamen, L)",0.2072215122703301
"Left globus pallidus externa, L)",0.14444381695668468
"Left caudate, L)",0.10271455787056219
"Left red nucleus, L)",0.06674162867365842
"Right caudate, R)",0.06458647056772776
"Left thalamus, L)",0.05695228362064398
"7Networks_LH_Vis_5, L)",0.03551926696408513
"7Networks_RH_Cont_PFCl_1, R)",0.0332457954947926
"Left nucleus accumbens, L)",0.03285699564832738
"7Networks_RH_Vis_5, R)",0.03052717603133404
"Right globus pallidus externa, R)",0.0268260788785245
"7Networks_RH_Cont_Par_2, R)",0.016536592637945408
"7Networks_RH_DorsAttn_Post_4, R)",0.016264430631832878
"7Networks_LH_Default_Temp_1, L)",0.016094501093153243
"7Networks_LH_Default_PCC_1, L)",0.0158703736690152
"7Networks_RH_Vis_7, R)",0.015728344981470688
"7Networks_LH_SalVentAttn_Med_2, L)",0.01464729329862506
"7Networks_RH_SalVentAttn_TempOccPar_2, R)",0.014297913191308886
